Sample_Name	Replicate	Time_Point	Factor
1	14_0903_02_20cm	A	0	treatment20cm
2	14_0903_02_30cm	A	0	treatment30cm
3	14_0903_02_40cm	A	0	treatment40cm
4	14_0903_05_20cm	A	0	control20cm
5	14_0903_05_30cm	A	0	control30cm
6	14_0903_05_40cm	A	0	control40cm
7	14_0903_09_20cm	B	0	treatment20cm
8	14_0903_09_30cm	B	0	treatment30cm
9	14_0903_09_40cm	B	0	treatment40cm
10	14_0903_12_20cm	B	0	control20cm
11	14_0903_12_30cm	B	0	control30cm
12	14_0903_12_40cm	B	0	control40cm
13	14_0903_13_20cm	C	0	treatment20cm
14	14_0903_13_30cm	C	0	treatment30cm
15	14_0903_13_40cm	C	0	treatment40cm
16	14_0903_16_20cm	C	0	control20cm
17	14_0903_16_30cm	C	0	control30cm
18	14_0903_16_40cm	C	0	control40cm
19	14_0919_02_20cm	A	1	treatment20cm
20	14_0919_05_20cm	A	1	control20cm
21	14_0919_09_20cm	B	1	treatment20cm
22	14_0919_12_20cm	B	1	control20cm
23	14_0927_02_20cm	A	2	treatment20cm
24	14_0927_02_40cm	A	2	treatment40cm
25	14_0927_05_20cm	A	2	control20cm
26	14_0927_05_40cm	A	2	control40cm
27	14_0927_09_20cm	B	2	treatment20cm
28	14_0927_09_40cm	B	2	treatment40cm
29	14_0927_12_20cm	B	2	control20cm
30	14_0927_12_40cm	B	2	control40cm
31	14_0929_02_20cm	A	3	treatment20cm
32	14_0929_02_30cm	A	3	treatment30cm
33	14_0929_02_40cm	A	3	treatment40cm
34	14_0929_05_20cm	A	3	control20cm
35	14_0929_05_30cm	A	3	control30cm
36	14_0929_05_40cm	A	3	control40cm
37	14_0929_09_20cm	B	3	treatment20cm
38	14_0929_09_30cm	B	3	treatment30cm
39	14_0929_09_40cm	B	3	treatment40cm
40	14_0929_12_20cm	B	3	control20cm
41	14_0929_12_30cm	B	3	control30cm
42	14_0929_12_40cm	B	3	control40cm
43	14_1009_02_20cm	A	4	treatment20cm
44	14_1009_02_30cm	A	4	treatment30cm
45	14_1009_02_40cm	A	4	treatment40cm
46	14_1009_05_20cm	A	4	control20cm
47	14_1009_05_30cm	A	4	control30cm
48	14_1009_05_40cm	A	4	control40cm
49	14_1009_09_20cm	B	4	treatment20cm
50	14_1009_09_30cm	B	4	treatment30cm
51	14_1009_09_40cm	B	4	treatment40cm
52	14_1009_12_20cm	B	4	control20cm
53	14_1009_12_30cm	B	4	control30cm
54	14_1009_12_40cm	B	4	control40cm
55	14_1009_13_20cm	C	4	treatment20cm
56	14_1009_13_30cm	C	4	treatment30cm
57	14_1009_13_40cm	C	4	treatment40cm
58	14_1009_16_20cm	C	4	control20cm
59	14_1009_16_30cm	C	4	control30cm
60	14_1009_16_40cm	C	4	control40cm
