Bin	Phylum	Depth	TvC20	TvC40	cynS	nit	URE	amiF	mauAB	qhpA	amo_pmo	hao	nxrAB	narGH	napA	narB	nasA	nirB	nrfA	nirA	nirK	norB	nosZ	xoxF	Fal1	Fal2	Fal3	Fal4	Frm1	Frm2	Frm3	coxL.I	acs
14_0903_02_20cm_Actinobacteria_63_68_5	Actinobacteria	Neither	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14_0903_02_20cm_Bacteria_88_55_7	Verrucomicrobia	Decrease	Increase	Increase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_02_20cm_Bacteria_99_55_12	Verrucomicrobia	Decrease	Neither	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
14_0903_02_20cm_Betaproteobacteria_69_66_11	Betaproteobacteria	Increase	Increase	Neither	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
14_0903_02_20cm_Gemmatimonadetes_83_65_6	Gemmatimonadetes	Increase	Increase	Neither	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
14_0903_02_20cm_Proteobacteria_54_67_14	Gammaproteobacteria	Decrease	Neither	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
14_0903_02_20cm_Proteobacteria_56_68_14	Gammaproteobacteria	Decrease	Neither	Neither	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
14_0903_02_30cm_Actinobacteria_172_69_15	Actinobacteria	Neither	Increase	Neither	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
14_0903_02_30cm_Alphaproteobacteria_175_63_7	Alphaproteobacteria	Increase	Neither	Neither	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1
14_0903_02_30cm_Alphaproteobacteria_186_65_8	Alphaproteobacteria	Decrease	Increase	Neither	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1
